Nombre, apellido,DNI, email personal, tel�fono de contacto,CVU/CBU,Inquilino
PATRICIA A ,SANDOVAL,23235955,SANDOVAL_PATRICIA A @email.com,1120639588,"3,62254675757554E+021",1
 Mariela,NANIN,23247521,NANIN_ Mariela@email.com,1120639590,"8,89915876292276E+021",1
OSNAGHI ANDREA, LORENA,23273814, LORENA_OSNAGHI ANDREA@email.com,1120639674,"6,79301841411764E+021",1
 ALEJANDRA,PAULETTE,23285089,PAULETTE_ ALEJANDRA@email.com,1120639615,"4,53257310584379E+021",0
LUCIANA VANESA ,FERNANDEZ LOPEZ,23303828,FERNANDEZ LOPEZ_LUCIANA VANESA @email.com,1120639675,"8,46684109979428E+021",1
JAIME DANIEL ,MORENO,23332976,MORENO_JAIME DANIEL @email.com,1120639625,"8,67274714699571E+021",0
Santiago, Latrecchiana,23342410, Latrecchiana_Santiago@email.com,1120639606,"2,28113586439136E+021",1
PAMELA GABRIELA, MINO,23342938, MINO_PAMELA GABRIELA@email.com,1120639649,"3,15481775044559E+021",1
SILVIO IVAN, MENES,23348199, MENES_SILVIO IVAN@email.com,1120639594,"9,0648213060558E+021",1
ALEJANDRA GABRIELA ,SALEMME,23355360,SALEMME_ALEJANDRA GABRIELA @email.com,1120639650,"2,04783524945748E+021",1
 SAMANTA L,GARCIA,23381679,GARCIA_ SAMANTA L@email.com,1120639564,"1,52939908547441E+021",0
FLAVIA MIRIAM, GIRA,24245586, GIRA_FLAVIA MIRIAM@email.com,1120639651,"5,73854218385004E+021",0
PAMELA E CARABAJAL, GONZALEZ,24306777, GONZALEZ_PAMELA E CARABAJAL@email.com,1120639652,"8,91381146507647E+021",0
GRACIELA JUDITH ,SANCHEZ,24369028,SANCHEZ_GRACIELA JUDITH @email.com,1120639653,"5,46834718949211E+021",0
 SILVIA VIVIANA,CARNERO,27169626,CARNERO_ SILVIA VIVIANA@email.com,1120639561,"8,55289759062762E+021",0
ZURITA GLORIA R, SANCHEZ,27190262, SANCHEZ_ZURITA GLORIA R@email.com,1120639654,"2,12987377940022E+021",1
GLADYS BEATRIZ ,PIZARRO,27229378,PIZARRO_GLADYS BEATRIZ @email.com,1120639676,"9,91870523434592E+021",1
CARLA ELIANA ,BRAVO,27249769,BRAVO_CARLA ELIANA @email.com,1120639677,"2,56709908409072E+021",0
 EMILSE VIRGINIA,ACHEGA,27250604,ACHEGA_ EMILSE VIRGINIA@email.com,1120639580,"3,54240447745631E+021",0
ARACELLI MARIA A ,MERCADO,27256384,MERCADO_ARACELLI MARIA A @email.com,1120639618,"8,40165596196131E+021",1
MALENA VIVIANA, ARIAS,27258698, ARIAS_MALENA VIVIANA@email.com,1120639678,"5,12065800039753E+021",1
ELIANA SOLEDAD ,DIAZ,27270489,DIAZ_ELIANA SOLEDAD @email.com,1120639655,"3,35499146735024E+021",1
MARIA EVA ,FERREYRA,27273981,FERREYRA_MARIA EVA @email.com,1120639656,"4,98543497445762E+021",0
Mar�a Lorena ,Ojeda,2728028,Ojeda_Mar�a Lorena @email.com,1120639657,"5,93018171525034E+021",0
VIRGINIA SOLEDAD,RODRIGUEZ,27287772,RODRIGUEZ_VIRGINIA SOLEDAD@email.com,1120639572,"5,78250195351374E+021",0
 MARIANA SABRINA,PEREZ,27294701,PEREZ_ MARIANA SABRINA@email.com,1120639581,"4,73858878975225E+021",0
PATRICIA NATALIA, TRINIDAD,27296824, TRINIDAD_PATRICIA NATALIA@email.com,1120639658,"5,10397669051892E+021",0
 MARIA ESTER,ACU�A,27297039,ACU�A_ MARIA ESTER@email.com,1120639612,"9,74892939824209E+021",0
 JESICA PAOLA,FERREYRA,27297895,FERREYRA_ JESICA PAOLA@email.com,1120639567,"3,25384047075577E+021",0
SILVINA FERNANDA, YEGROS,27297917, YEGROS_SILVINA FERNANDA@email.com,1120639659,"5,46569292271163E+021",1
RUTH ELIZABETH ,TOLOZA,27298715,TOLOZA_RUTH ELIZABETH @email.com,1120639626,"3,56916718704462E+021",1
SALINAS CARMEN, SOLEDAD,27304941, SOLEDAD_SALINAS CARMEN@email.com,1120639660,"4,46215570185223E+021",1
SOLANGE B, GONZALEZ,27310492, GONZALEZ_SOLANGE B@email.com,1120639630,"2,64547448782441E+021",1
 JULIANA VANESA,MAIDANA,27313444,MAIDANA_ JULIANA VANESA@email.com,1120639566,"7,1681924925963E+021",1
JOSEFINA,SUAREZ,27317797,SUAREZJOSEF_INA@email.com,1120639571,"8,1490439253524E+021",1
NATALIA VERONICA, LOPEZ,27318315, LOPEZ_NATALIA VERONICA@email.com,1120639679,"8,7761182048573E+021",0
ROSALIA ANAHI, ALEGRE,27318830, ALEGRE_ROSALIA ANAHI@email.com,1120639631,"8,95675508460746E+021",0
ANABELA E,SARDA,27331765,SARDA_ANABELA E@email.com,1120639570,"1,6866887682855E+021",0
LEILA ,CHEQUIN,27335511,CHEQUIN_LEILA @email.com,1120639661,"5,98656527854176E+021",0
 XOANA DENISA,LUNA,27337266,LUNA_ XOANA DENISA@email.com,1120639582,"4,73909328947488E+021",1
SONIA GLADYS, TARCAYA,27339015, TARCAYA_SONIA GLADYS@email.com,1120639609,"5,51302690312913E+021",0
 DAMARIS ELIANA,ZURRIAN,27341024,ZURRIAN_ DAMARIS ELIANA@email.com,1120639585,"1,11219206553049E+021",1
NATALIA VANESA, CORIA,27342936, CORIA_NATALIA VANESA@email.com,1120639662,"4,20733994205377E+021",0
PAMELA D, MACIEL,27343695, MACIEL_PAMELA D@email.com,1120639663,"9,30191466363557E+021",1
MICAELA S, MORALES,27344635, MORALES_MICAELA S@email.com,1120639607,"9,79876734921853E+021",0
Gisele, Armani,27344811, Armani_Gisele@email.com,1120639664,"7,13851286856679E+021",1
MARIA FERNANDA, VILLEGAS,27349223, VILLEGAS_MARIA FERNANDA@email.com,1120639665,"3,9670380782113E+021",1
 VANINA SOLEDAD,ACU�A,27350782,ACU�A_ VANINA SOLEDAD@email.com,1120639586,"6,06251086472468E+021",1
deborah yanina, vieyra,27352961, vieyra_deborah yanina@email.com,1120639666,"7,34096053491111E+021",1
MARA LUCILA ,PRUNESTI,27353783,PRUNESTI_MARA LUCILA @email.com,1120639667,"4,20362316812111E+021",1
MARIANA G, GAUNA,27354663, GAUNA_MARIANA G@email.com,1120639668,"7,8634710348395E+021",1
ESTEFANIA DEL, POZO,27355371, POZO_ESTEFANIA DEL@email.com,1120639669,"3,9035750012258E+021",0
ARACELI A, SALINA,27366061, SALINA_ARACELI A@email.com,1120639680,"4,56177967319269E+021",1
MARGARITA SOLEDAD, SANDOVAL,27368014, SANDOVAL_MARGARITA SOLEDAD@email.com,1120639599,"4,75697510121082E+021",1
EVELYN CYNTHIA ,ALONSO,27375516,ALONSO_EVELYN CYNTHIA @email.com,1120639589,"2,69899930284363E+021",1
 SABRINA J,RODRIGUEZ,27376670,RODRIGUEZ_ SABRINA J@email.com,1120639610,"4,92178331003316E+021",1
 KAREN SOLEDAD,POTES,27383031,POTES_ KAREN SOLEDAD@email.com,1120639578,"9,95986973119611E+021",0
 SOFIA ABRIL,BUSTOS RODRIGUEZ,27384453,BUSTOS RODRIGUEZ_ SOFIA ABRIL@email.com,1120639583,"8,44567146779075E+021",0
MARIA B, ESQUIVEL,27388593, ESQUIVEL_MARIA B@email.com,1120639632,"2,47671667352586E+021",0
GISELLE A, GALELLI,27406750, GALELLI_GISELLE A@email.com,1120639596,"9,39121971652186E+021",1
DAIANA A, SANDOVAL,27416930, SANDOVAL_DAIANA A@email.com,1120639597,"9,48578260837042E+021",1
 MELINA ROCIO,LUCERO,27483727,LUCERO_ MELINA ROCIO@email.com,1120639614,"7,46343383127005E+021",1
JARA C P, DELGADO,27936230, DELGADO_JARA C P@email.com,1120639598,"7,95204013861592E+021",0
DIANA VICTORIA ARCILA, MARTINEZ,27954399, MARTINEZ_DIANA VICTORIA ARCILA@email.com,1120639608,"7,90070313867436E+021",0
FAUSTO ,MALDONADO,29183052,MALDONADO_FAUSTO @email.com,1120639635,"5,44431069907441E+021",0
CUBILLA FERNANDO J ,MEDINA,29190170,MEDINA_CUBILLA FERNANDO J @email.com,1120639636,"4,00664685839506E+021",0
CLAUDIO FABIAN,MACELLARI,29229436,MACELLARI_CLAUDIO FABIAN@email.com,1120639575,"6,75837616718414E+021",0
GUSTAVO ALBERTO ,BANEGAS,29229765,BANEGAS_GUSTAVO ALBERTO @email.com,1120639620,"5,97385558569753E+021",0
 FACUNDO N,ROSON,29246633,ROSON_ FACUNDO N@email.com,1120639611,"4,91949585194861E+021",0
HECTOR DIEGO ,RODRIGUEZ,29253969,RODRIGUEZ_HECTOR DIEGO @email.com,1120639621,"7,65725551610514E+021",0
GASTON MIGUEL, LOPEZ,29256383, LOPEZ_GASTON MIGUEL@email.com,1120639622,"2,31440789738504E+021",0
DIEGO GABRIEL ,LAVIZZARI,29256472,LAVIZZARI_DIEGO GABRIEL @email.com,1120639637,"2,898753242884E+021",1
H�ctor, Fernandez,29259090, Fernandez_H�ctor@email.com,1120639634,"4,60918647564968E+021",0
MARCELO MIGUEL ,GIANETTA,29260081,GIANETTA_MARCELO MIGUEL @email.com,1120639623,"3,26674755082139E+021",1
 ALEJANDRO ESTEBAN,PEDERNERA,29261973,PEDERNERA_ ALEJANDRO ESTEBAN@email.com,1120639592,"4,27919731418025E+021",1
 LUCAS SALVADOR,ACCORINTI,29263286,ACCORINTI_ LUCAS SALVADOR@email.com,1120639565,"6,52231745947975E+021",1
GUSTAVO ARIEL, CHAVEZ,29270305, CHAVEZ_GUSTAVO ARIEL@email.com,1120639595,"8,30696309536018E+021",1
CLAUDIO JOSE ,ORMENO,29276163,ORMENO_CLAUDIO JOSE @email.com,1120639670,"2,39951206022593E+021",0
 LEANDRO ENRIQUE,IRIBARNE,29278042,IRIBARNE_ LEANDRO ENRIQUE@email.com,1120639569,"2,00350930064609E+021",0
ALEJANDRO ALBERTO R,CIPRIANO,29279513,CIPRIANO_ALEJANDRO ALBERTO R@email.com,1120639593,"7,1524869512191E+021",1
 PABLO DARIO,BIEN,29284459,BIEN_ PABLO DARIO@email.com,1120639568,"8,46915389675461E+021",1
 JESUS PAUL,MARCOS,29287975,MARCOS_ JESUS PAUL@email.com,1120639574,"4,02283293303175E+021",1
RICARDO ALBERTO, PAROL,29293683, PAROL_RICARDO ALBERTO@email.com,1120639638,"8,3273586799004E+021",0
ELIAS E, PEDROZO,29300111, PEDROZO_ELIAS E@email.com,1120639601,"9,87305236360946E+021",0
MARTIN EMILIANO, VASQUEZ,29305275, VASQUEZ_MARTIN EMILIANO@email.com,1120639619,"1,42446050864073E+021",0
ALEJANDRO GUILLERMO ,ESCUDERO,29308616,ESCUDERO_ALEJANDRO GUILLERMO @email.com,1120639633,"9,09001191008905E+021",0
LUCAS MARCELO, BIANCHI,29322550, BIANCHI_LUCAS MARCELO@email.com,1120639640,"6,09749067914881E+021",0
 SERGIO JAVIER,FIGUEROA,29324246,FIGUEROA_ SERGIO JAVIER@email.com,1120639562,"9,73651359332305E+021",0
MAURO MARTIN,GONZALEZ,29325860,GONZALEZ_MAURO MARTIN@email.com,1120639573,"4,14122909976154E+021",0
 DARIO PEDRO,SILVA,29327596,SILVA_ DARIO PEDRO@email.com,1120639579,"2,33710026383137E+021",0
MATIAS EMANUEL, BERARDI,29327816, BERARDI_MATIAS EMANUEL@email.com,1120639616,"6,04958925033126E+021",0
PABLO FABIAN, PERRANDO,29329107, PERRANDO_PABLO FABIAN@email.com,1120639639,"8,2039935233945E+021",0
JORGE DANIEL, ROJAS,29333588, ROJAS_JORGE DANIEL@email.com,1120639641,"8,67136384736454E+021",0
HUGO ALBERTO, GIMENEZ,29334062, GIMENEZ_HUGO ALBERTO@email.com,1120639605,"1,59990622958479E+021",0
PABLO MARTIN ,GONZALEZ,29336264,GONZALEZ_PABLO MARTIN @email.com,1120639627,"9,64964149847833E+021",1
ELIAS N ,RAMALLO,29336748,RAMALLO_ELIAS N @email.com,1120639671,"3,74744067086467E+021",1
GONZALO E ,FRIAS,29337819,FRIAS_GONZALO E @email.com,1120639672,"5,8462370211439E+021",1
ADRIAN MATIAS ,VALLEJOS,29339068,VALLEJOS_ADRIAN MATIAS @email.com,1120639628,"7,99790797812624E+021",1
PABLO LUIS, ROGGERO,29339140, ROGGERO_PABLO LUIS@email.com,1120639600,"3,39232670779426E+021",1
 GASTON ARIEL,CRUZ,29341472,CRUZ_ GASTON ARIEL@email.com,1120639563,"7,95340126895279E+021",1
 WALTER DAMIAN,INSFRAN,29342250,INSFRAN_ WALTER DAMIAN@email.com,1120639613,"7,89968617385495E+021",1
NICOLAS DANIEL ,PALACIOS,29344810,PALACIOS_NICOLAS DANIEL @email.com,1120639673,"4,19887884827007E+021",0
MAXIMILIANO DAVID ,PENKALUK,29344811,PENKALUK_MAXIMILIANO DAVID @email.com,1120639629,"1,83162293609028E+021",1
 FERNANDO DIEGO RAUL,QUIROZ,29345669,QUIROZ_ FERNANDO DIEGO RAUL@email.com,1120639576,"9,09858637006107E+021",1
 NAHUEL SANTIAGO,SCARSINI,29353578,SCARSINI_ NAHUEL SANTIAGO@email.com,1120639591,"4,64913209162012E+021",0
ALBERTO EMANUEL ,FERNANDEZ CALDERON,29354796,FERNANDEZ CALDERON_ALBERTO EMANUEL @email.com,1120639617,"7,38518376253228E+021",0
RODIS OSVALDO ,PEREZ,29356830,PEREZ_RODIS OSVALDO @email.com,1120639642,"8,55573700996873E+021",0
MAURO GASTON ,GONZALEZ,29359002,GONZALEZ_MAURO GASTON @email.com,1120639643,"4,05868883433879E+021",0
EDUARDO JAVIER ,GRISEK,29364139,GRISEK_EDUARDO JAVIER @email.com,1120639644,"9,53147127486279E+021",0
NAHUEL FERNANDO ,VELIZ,29364139,VELIZ_NAHUEL FERNANDO @email.com,1120639645,"2,772929965369E+021",1
FACUNDO N, ALFONZO,29366987, ALFONZO_FACUNDO N@email.com,1120639624,"9,78677594341351E+021",1
LEONARDO JAVIER ,MORANDI,29370979,MORANDI_LEONARDO JAVIER @email.com,1120639646,"8,57114113227022E+021",1
FRANCO EZEQUIEL, FORMOSO,29372385, FORMOSO_FRANCO EZEQUIEL@email.com,1120639647,"2,548682223996E+021",1
 LEANDRO EZEQUIEL,NIETO,29374066,NIETO_ LEANDRO EZEQUIEL@email.com,1120639584,"5,11730577361883E+021",1
 LEANDRO AGUSTIN EZEQUIEL,MARQUEZ,29384278,MARQUEZ_ LEANDRO AGUSTIN EZEQUIEL@email.com,1120639587,"6,87187763090734E+021",1
ELIAS N AYALA, FERNANDEZ,29388638, FERNANDEZ_ELIAS N AYALA@email.com,1120639603,"1,1355322761208E+021",1
 JUAN RAUL,FERRARI,29407953,FERRARI_ JUAN RAUL@email.com,1120639577,"6,92735902304217E+021",1
DARIO N, MORENO,29411299, MORENO_DARIO N@email.com,1120639604,"8,94438349184978E+021",1
TORRANO JOSE E, RODRIGUEZ,29937503, RODRIGUEZ_TORRANO JOSE E@email.com,1120639648,"4,62510419930521E+021",0
JOSE M, CORDONERO,29954544, CORDONERO_JOSE M@email.com,1120639602,"3,13959851849161E+021",0
OSNAGHI ANDREA,MALDONADO,30124875,OSNAGHI ANDREA_MALDONADO@email.com,1120639649,"8,56915389675461E+021",1
 ALEJANDRA,MEDINA,30258963, ALEJANDRA_MEDINA@email.com,1120639650,"4,12283293303175E+021",1
LUCIANA VANESA ,MACELLARI,30258741,LUCIANA VANESA _MACELLARI@email.com,1120639651,"8,2273586799004E+021",1
JAIME DANIEL ,BANEGAS,30963258,JAIME DANIEL _BANEGAS@email.com,1120639652,"9,97305236360946E+021",1
Santiago,ROSON,30258963,Santiago_ROSON@email.com,1120639653,"1,52446050864073E+021",1
PAMELA GABRIELA,RODRIGUEZ,30258741,PAMELA GABRIELA_RODRIGUEZ@email.com,1120639654,"9,19001191008905E+021",1
SILVIO IVAN, LOPEZ,30587498,SILVIO IVAN_ LOPEZ@email.com,1120639655,"6,07749067914881E+021",1
ALEJANDRA GABRIELA ,LAVIZZARI,30789654,ALEJANDRA GABRIELA _LAVIZZARI@email.com,1120639656,"9,74565135933205E+021",0
 SAMANTA L, Fernandez,30569874, SAMANTA L_ Fernandez@email.com,1120639657,"4,15122909976154E+021",1
FLAVIA MIRIAM,GIANETTA,30458951,FLAVIA MIRIAM_GIANETTA@email.com,1120639658,"2,34710026383137E+021",1
PAMELA E CARABAJAL,PEDERNERA,30258741,PAMELA E CARABAJAL_PEDERNERA@email.com,1120639659,"6,06958925033126E+021",0
GRACIELA JUDITH ,ACCORINTI,30357951,GRACIELA JUDITH _ACCORINTI@email.com,1120639660,"8,3039935233945E+021",0
